LARVcov,EIR,outcome,outcomeLabel,Frequency_fct,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
80,90,Nv,Host-seeking mosquitoes,60,3.60527065952063,7.34171652594813,6.24852127428927,6.58337354327686,1.0165421923744,18,5.75341588512106,6.9277929455974,4.10818536713934,7.32837768848138,0.239601292530059,5.74300673484036,6.75403581373819,0
80,90,Nv,Host-seeking mosquitoes,once,0.886337980009867,5.90744822879221,3.1719035013725,3.13961975094464,1.22599666822477,18,2.43740128206667,3.95865145936519,1.14415682116254,5.28198795573011,0.28897018593795,2.56222970155122,3.78157730119378,0
100,3,Nv,Host-seeking mosquitoes,5,86.9064484636967,87.4650470457746,87.2306967074879,87.260042059066,0.160255668404663,18,87.1309366015947,87.3191217060393,86.92555800701,87.4567987206348,0.0377726232841733,87.1510034384673,87.3103899765085,0
100,3,Nv,Host-seeking mosquitoes,10,44.3149409303563,50.1184190112415,45.9310113216615,45.219446306102,1.68561740956047,18,44.6461986675587,46.8238687771769,44.3319656398746,49.503865003991,0.397303833595436,45.092773504409,46.7692491389141,0
100,3,Nv,Host-seeking mosquitoes,15,28.5205161558707,34.5650050794771,30.8698870264885,30.7307324480408,1.55160479655782,18,29.9364084462213,31.6905227752731,28.6009889698091,33.9563257187233,0.365716757789204,30.0982921138302,31.6414819391469,0
100,3,Nv,Host-seeking mosquitoes,20,20.7482654501153,26.4443035221577,23.5704046452868,23.2623504999836,1.4675506183438,18,23.0563470639308,24.5527302198659,20.8381328829345,26.1834043394133,0.34590499798847,22.8406088920803,24.3002003984932,0
100,3,Nv,Host-seeking mosquitoes,30,13.4348571632811,18.3913416335618,16.2186730616668,16.4444815310644,1.24625864508201,18,15.50585054645,16.8979381366106,13.9543253859312,18.1385537883796,0.293745979683284,15.5989232178051,16.8384229055285,0
100,3,Nv,Host-seeking mosquitoes,60,6.27133587259149,9.30583745375207,8.29610544695842,8.34992081344619,0.828215081481803,18,7.85559603681797,8.93153910154628,6.52443807251157,9.29237948672925,0.195212166798917,7.88424377646347,8.70796711745337,0
100,3,Nv,Host-seeking mosquitoes,once,2.58087965028718,6.4510991836026,4.70975986658349,4.88498963375304,1.08202132853185,18,3.8946110615073,5.49551295150129,2.7356746342312,6.29850563663463,0.255034872931117,4.17168331878268,5.2478364143843,0
100,10,Nv,Host-seeking mosquitoes,5,86.9390705426308,87.4040701954051,87.1772831194258,87.1463464523264,0.124632519151913,18,87.0915074348417,87.2872790544384,86.9729598428239,87.3703313962214,0.0293761664828932,87.1153048257631,87.2392614130884,0
